	id	title	acceptance	difficulty
61	61	 Rotate List	35.0	Medium
62	62	 Unique Paths	60.2	Medium
63	63	 Unique Paths II	38.5	Medium
64	64	 Minimum Path Sum	59.5	Medium
65	65	 Valid Number	18.3	Hard
66	66	 Plus One	42.9	Easy
67	67	 Add Binary	50.6	Easy
68	68	 Text Justification	35.4	Hard
69	69	 Sqrt(x)	36.6	Easy
70	70	 Climbing Stairs	51.1	Easy
71	71	 Simplify Path	38.9	Medium
72	72	 Edit Distance	51.0	Hard
73	73	 Set Matrix Zeroes	48.5	Medium
74	74	 Search a 2D Matrix	44.7	Medium
75	75	 Sort Colors	55.1	Medium
76	76	 Minimum Window Substring	39.1	Hard
77	77	 Combinations	64.2	Medium
78	78	 Subsets	71.7	Medium
79	79	 Word Search	39.7	Medium
80	80	 Remove Duplicates from Sorted Array II	50.6	Medium
81	81	 Search in Rotated Sorted Array II	35.6	Medium
82	82	 Remove Duplicates from Sorted List II	44.5	Medium
83	83	 Remove Duplicates from Sorted List	49.1	Easy
84	84	 Largest Rectangle in Histogram	40.9	Hard
85	85	 Maximal Rectangle	42.9	Hard
86	86	 Partition List	48.1	Medium
87	87	 Scramble String	35.7	Hard
88	88	 Merge Sorted Array	44.0	Easy
89	89	 Gray Code	55.4	Medium
90	90	 Subsets II	53.5	Medium
91	91	 Decode Ways	30.4	Medium
92	92	 Reverse Linked List II	43.5	Medium
93	93	 Restore IP Addresses	42.0	Medium
94	94	 Binary Tree Inorder Traversal	71.0	Easy
95	95	 Unique Binary Search Trees II	49.7	Medium
96	96	 Unique Binary Search Trees	58.4	Medium
97	97	 Interleaving String	34.9	Medium
98	98	 Validate Binary Search Tree	30.6	Medium
99	99	 Recover Binary Search Tree	48.8	Medium
100	100	 Same Tree	55.6	Easy
101	101	 Symmetric Tree	51.7	Easy
102	102	 Binary Tree Level Order Traversal	61.1	Medium
103	103	 Binary Tree Zigzag Level Order Traversal	53.8	Medium
104	104	 Maximum Depth of Binary Tree	72.0	Easy
105	105	 Construct Binary Tree from Preorder and Inorder Traversal	57.9	Medium
106	106	 Construct Binary Tree from Inorder and Postorder Traversal	55.6	Medium
107	107	 Binary Tree Level Order Traversal II	58.9	Medium
108	108	 Convert Sorted Array to Binary Search Tree	66.3	Easy
109	109	 Convert Sorted List to Binary Search Tree	55.8	Medium
110	110	 Balanced Binary Tree	46.9	Easy
111	111	 Minimum Depth of Binary Tree	42.6	Easy
112	112	 Path Sum	45.7	Easy
113	113	 Path Sum II	54.2	Medium
114	114	 Flatten Binary Tree to Linked List	58.0	Medium
115	115	 Distinct Subsequences	42.4	Hard
116	116	 Populating Next Right Pointers in Each Node	57.4	Medium
117	117	 Populating Next Right Pointers in Each Node II	48.4	Medium
118	118	 Pascal's Triangle	65.0	Easy
119	119	 Pascal's Triangle II	57.8	Easy
120	120	 Triangle	51.0	Medium
121	121	 Best Time to Buy and Sell Stock	54.1	Easy
122	122	 Best Time to Buy and Sell Stock II	62.2	Medium
123	123	 Best Time to Buy and Sell Stock III	43.3	Hard
124	124	 Binary Tree Maximum Path Sum	37.8	Hard
125	125	 Valid Palindrome	41.9	Easy
126	126	 Word Ladder II	27.1	Hard
127	127	 Word Ladder	35.6	Hard
128	128	 Longest Consecutive Sequence	48.8	Medium
129	129	 Sum Root to Leaf Numbers	57.2	Medium
130	130	 Surrounded Regions	34.2	Medium
131	131	 Palindrome Partitioning	59.8	Medium
132	132	 Palindrome Partitioning II	33.2	Hard
133	133	 Clone Graph	48.1	Medium
134	134	 Gas Station	44.5	Medium
135	135	 Candy	37.2	Hard
136	136	 Single Number	69.5	Easy
137	137	 Single Number II	56.7	Medium
138	138	 Copy List with Random Pointer	48.4	Medium
139	139	 Word Break	44.7	Medium
140	140	 Word Break II	42.4	Hard
141	141	 Linked List Cycle	46.0	Easy
142	142	 Linked List Cycle II	44.4	Medium
143	143	 Reorder List	48.3	Medium
144	144	 Binary Tree Preorder Traversal	62.8	Easy
145	145	 Binary Tree Postorder Traversal	64.4	Easy
146	146	 LRU Cache	40.0	Medium
147	147	 Insertion Sort List	49.0	Medium
148	148	 Sort List	52.3	Medium
149	149	 Max Points on a Line	20.7	Hard
150	150	 Evaluate Reverse Polish Notation	42.8	Medium
151	151	 Reverse Words in a String	28.7	Medium
152	152	 Maximum Product Subarray	34.6	Medium
153	153	 Find Minimum in Rotated Sorted Array	48.0	Medium
154	154	 Find Minimum in Rotated Sorted Array II	43.3	Hard
155	155	 Min Stack	50.4	Easy
156	156	 Binary Tree Upside Down	60.7	Medium
157	157	 Read N Characters Given Read4	40.4	Easy
158	158	 Read N Characters Given read4 II - Call Multiple Times	41.0	Hard
159	159	 Longest Substring with At Most Two Distinct Characters	52.8	Medium
160	160	 Intersection of Two Linked Lists	50.2	Easy
161	161	 One Edit Distance	34.0	Medium
162	162	 Find Peak Element	46.0	Medium
163	163	 Missing Ranges	31.4	Easy
164	164	 Maximum Gap	41.5	Hard
165	165	 Compare Version Numbers	34.6	Medium
166	166	 Fraction to Recurring Decimal	23.6	Medium
167	167	 Two Sum II - Input Array Is Sorted	58.9	Medium
168	168	 Excel Sheet Column Title	34.0	Easy
169	169	 Majority Element	63.0	Easy
170	170	 Two Sum III - Data structure design	36.8	Easy
171	171	 Excel Sheet Column Number	60.7	Easy
172	172	 Factorial Trailing Zeroes	40.9	Medium
173	173	 Binary Search Tree Iterator	67.5	Medium
174	174	 Dungeon Game	36.6	Hard
175	179	 Largest Number	33.0	Medium
176	186	 Reverse Words in a String II	51.2	Medium
177	187	 Repeated DNA Sequences	44.9	Medium
178	188	 Best Time to Buy and Sell Stock IV	33.9	Hard
179	189	 Rotate Array	38.6	Medium
180	190	 Reverse Bits	49.3	Easy
181	191	 Number of 1 Bits	61.8	Easy
182	198	 House Robber	47.4	Medium
183	199	 Binary Tree Right Side View	59.7	Medium
184	200	 Number of Islands	54.1	Medium
185	201	 Bitwise AND of Numbers Range	41.9	Medium
186	202	 Happy Number	53.4	Easy
187	203	 Remove Linked List Elements	43.6	Easy
188	204	 Count Primes	33.0	Medium
189	205	 Isomorphic Strings	42.1	Easy
190	206	 Reverse Linked List	70.5	Easy
191	207	 Course Schedule	45.1	Medium
192	208	 Implement Trie (Prefix Tree)	58.5	Medium
193	209	 Minimum Size Subarray Sum	43.5	Medium
194	210	 Course Schedule II	46.7	Medium
195	211	 Design Add and Search Words Data Structure	43.9	Medium
196	212	 Word Search II	37.8	Hard
197	213	 House Robber II	40.0	Medium
198	214	 Shortest Palindrome	31.8	Hard
199	215	 Kth Largest Element in an Array	63.7	Medium
200	216	 Combination Sum III	66.1	Medium
201	217	 Contains Duplicate	60.9	Easy
202	218	 The Skyline Problem	38.8	Hard
203	219	 Contains Duplicate II	40.7	Easy
204	220	 Contains Duplicate III	21.7	Medium
205	221	 Maximal Square	43.6	Medium
206	222	 Count Complete Tree Nodes	55.5	Medium
207	223	 Rectangle Area	40.2	Medium
208	224	 Basic Calculator	40.6	Hard
209	225	 Implement Stack using Queues	55.5	Easy
210	226	 Invert Binary Tree	71.8	Easy
211	227	 Basic Calculator II	41.7	Medium
212	228	 Summary Ranges	46.4	Easy
213	229	 Majority Element II	42.6	Medium
214	230	 Kth Smallest Element in a BST	67.8	Medium
215	231	 Power of Two	45.1	Easy
216	232	 Implement Queue using Stacks	58.6	Easy
217	233	 Number of Digit One	33.7	Hard
218	234	 Palindrome Linked List	46.8	Easy
219	235	 Lowest Common Ancestor of a Binary Search Tree	57.3	Easy
220	236	 Lowest Common Ancestor of a Binary Tree	55.6	Medium
221	237	 Delete Node in a Linked List	72.1	Easy
222	238	 Product of Array Except Self	64.1	Medium
223	239	 Sliding Window Maximum	46.3	Hard
224	240	 Search a 2D Matrix II	48.6	Medium
225	241	 Different Ways to Add Parentheses	61.8	Medium
226	242	 Valid Anagram	61.5	Easy
227	243	 Shortest Word Distance	64.5	Easy
228	244	 Shortest Word Distance II	59.8	Medium
229	245	 Shortest Word Distance III	57.2	Medium
230	246	 Strobogrammatic Number	47.6	Easy
231	247	 Strobogrammatic Number II	51.1	Medium
232	248	 Strobogrammatic Number III	41.4	Hard
233	249	 Group Shifted Strings	63.7	Medium
234	250	 Count Univalue Subtrees	54.8	Medium
235	251	 Flatten 2D Vector	48.1	Medium
236	252	 Meeting Rooms	56.7	Easy
237	253	 Meeting Rooms II	49.8	Medium
238	254	 Factor Combinations	48.7	Medium
239	255	 Verify Preorder Sequence in Binary Search Tree	47.6	Medium
240	256	 Paint House	59.0	Medium
241	257	 Binary Tree Paths	58.9	Easy
242	258	 Add Digits	62.6	Easy
243	259	 3Sum Smaller	50.4	Medium
244	260	 Single Number III	67.2	Medium
245	261	 Graph Valid Tree	46.0	Medium
246	263	 Ugly Number	41.8	Easy
247	264	 Ugly Number II	45.3	Medium
248	265	 Paint House II	51.0	Hard
249	266	 Palindrome Permutation	65.5	Easy
250	267	 Palindrome Permutation II	39.8	Medium
251	268	 Missing Number	59.6	Easy
252	269	 Alien Dictionary	34.9	Hard
253	270	 Closest Binary Search Tree Value	53.9	Easy
254	271	 Encode and Decode Strings	38.4	Medium
255	272	 Closest Binary Search Tree Value II	57.3	Hard
256	273	 Integer to English Words	29.6	Hard
257	274	 H-Index	37.7	Medium
258	275	 H-Index II	37.1	Medium
259	276	 Paint Fence	43.0	Medium
260	277	 Find the Celebrity	46.8	Medium
261	278	 First Bad Version	41.8	Easy
262	279	 Perfect Squares	51.9	Medium
263	280	 Wiggle Sort	66.0	Medium
264	281	 Zigzag Iterator	61.6	Medium
265	282	 Expression Add Operators	39.2	Hard
266	283	 Move Zeroes	60.7	Easy
267	284	 Peeking Iterator	57.6	Medium
268	285	 Inorder Successor in BST	47.3	Medium
269	286	 Walls and Gates	59.4	Medium
270	287	 Find the Duplicate Number	58.8	Medium
271	288	 Unique Word Abbreviation	24.8	Medium
272	289	 Game of Life	65.5	Medium
273	290	 Word Pattern	40.2	Easy
274	291	 Word Pattern II	46.4	Medium
275	292	 Nim Game	55.5	Easy
276	293	 Flip Game	62.6	Easy
277	294	 Flip Game II	51.5	Medium
278	295	 Find Median from Data Stream	50.4	Hard
279	296	 Best Meeting Point	59.4	Hard
280	297	 Serialize and Deserialize Binary Tree	53.9	Hard
281	298	 Binary Tree Longest Consecutive Sequence	51.3	Medium
282	299	 Bulls and Cows	47.4	Medium
283	300	 Longest Increasing Subsequence	49.5	Medium
284	301	 Remove Invalid Parentheses	46.9	Hard
285	302	 Smallest Rectangle Enclosing Black Pixels	57.2	Hard
286	303	 Range Sum Query - Immutable	55.7	Easy
287	304	 Range Sum Query 2D - Immutable	47.9	Medium
288	305	 Number of Islands II	39.4	Hard
289	306	 Additive Number	30.6	Medium
290	307	 Range Sum Query - Mutable	38.8	Medium
291	308	 Range Sum Query 2D - Mutable	41.2	Hard
292	309	 Best Time to Buy and Sell Stock with Cooldown	52.6	Medium
293	310	 Minimum Height Trees	38.1	Medium
294	311	 Sparse Matrix Multiplication	66.4	Medium
295	312	 Burst Balloons	56.4	Hard
296	313	 Super Ugly Number	45.7	Medium
297	314	 Binary Tree Vertical Order Traversal	51.3	Medium
298	315	 Count of Smaller Numbers After Self	42.0	Hard
299	316	 Remove Duplicate Letters	44.0	Medium
300	317	 Shortest Distance from All Buildings	43.3	Hard
301	318	 Maximum Product of Word Lengths	56.7	Medium
302	319	 Bulb Switcher	47.4	Medium
303	320	 Generalized Abbreviation	56.5	Medium
304	321	 Create Maximum Number	28.4	Hard
305	322	 Coin Change	40.6	Medium
306	323	 Number of Connected Components in an Undirected Graph	61.3	Medium
307	324	 Wiggle Sort II	32.3	Medium
308	325	 Maximum Size Subarray Sum Equals k	49.2	Medium
309	326	 Power of Three	43.6	Easy
310	327	 Count of Range Sum	36.1	Hard
311	328	 Odd Even Linked List	59.6	Medium
312	329	 Longest Increasing Path in a Matrix	51.2	Hard
313	330	 Patching Array	39.6	Hard
314	331	 Verify Preorder Serialization of a Binary Tree	43.8	Medium
315	332	 Reconstruct Itinerary	40.3	Hard
316	333	 Largest BST Subtree	41.4	Medium
317	334	 Increasing Triplet Subsequence	41.5	Medium
318	335	 Self Crossing	29.1	Hard
319	336	 Palindrome Pairs	35.7	Hard
320	337	 House Robber III	53.6	Medium
321	338	 Counting Bits	74.4	Easy
322	339	 Nested List Weight Sum	81.4	Medium
323	340	 Longest Substring with At Most K Distinct Characters	47.4	Medium
324	341	 Flatten Nested List Iterator	60.7	Medium
325	342	 Power of Four	44.1	Easy
326	343	 Integer Break	54.3	Medium
327	344	 Reverse String	75.0	Easy
328	345	 Reverse Vowels of a String	47.0	Easy
329	346	 Moving Average from Data Stream	76.5	Easy
330	347	 Top K Frequent Elements	65.0	Medium
331	348	 Design Tic-Tac-Toe	57.3	Medium
332	349	 Intersection of Two Arrays	69.2	Easy
333	350	 Intersection of Two Arrays II	55.0	Easy
334	351	 Android Unlock Patterns	51.1	Medium
335	352	 Data Stream as Disjoint Intervals	50.8	Hard
336	353	 Design Snake Game	38.3	Medium
337	354	 Russian Doll Envelopes	39.0	Hard
338	355	 Design Twitter	34.8	Medium
339	356	 Line Reflection	34.4	Medium
340	357	 Count Numbers with Unique Digits	50.7	Medium
341	358	 Rearrange String k Distance Apart	37.2	Hard
342	359	 Logger Rate Limiter	75.0	Easy
343	360	 Sort Transformed Array	53.8	Medium
344	361	 Bomb Enemy	50.2	Medium
345	362	 Design Hit Counter	67.5	Medium
346	363	 Max Sum of Rectangle No Larger Than K	40.2	Hard
347	364	 Nested List Weight Sum II	68.7	Medium
348	365	 Water and Jug Problem	34.8	Medium
349	366	 Find Leaves of Binary Tree	78.8	Medium
350	367	 Valid Perfect Square	43.1	Easy
351	368	 Largest Divisible Subset	40.6	Medium
352	369	 Plus One Linked List	60.6	Medium
353	370	 Range Addition	69.8	Medium
354	371	 Sum of Two Integers	50.6	Medium
355	372	 Super Pow	37.6	Medium
356	373	 Find K Pairs with Smallest Sums	38.7	Medium
357	374	 Guess Number Higher or Lower	49.4	Easy
358	375	 Guess Number Higher or Lower II	45.5	Medium
359	376	 Wiggle Subsequence	45.1	Medium
360	377	 Combination Sum IV	49.5	Medium
361	378	 Kth Smallest Element in a Sorted Matrix	59.8	Medium
362	379	 Design Phone Directory	50.4	Medium
363	380	 Insert Delete GetRandom O(1)	51.4	Medium
364	381	 Insert Delete GetRandom O(1) - Duplicates allowed	35.5	Hard
365	382	 Linked List Random Node	59.0	Medium
366	383	 Ransom Note	55.9	Easy
367	384	 Shuffle an Array	57.1	Medium
368	385	 Mini Parser	36.0	Medium
369	386	 Lexicographical Numbers	59.1	Medium
370	387	 First Unique Character in a String	57.2	Easy
371	388	 Longest Absolute File Path	46.0	Medium
372	389	 Find the Difference	60.5	Easy
373	390	 Elimination Game	46.4	Medium
374	391	 Perfect Rectangle	32.1	Hard
375	392	 Is Subsequence	51.0	Easy
376	393	 UTF-8 Validation	39.2	Medium
377	394	 Decode String	56.4	Medium
378	395	 Longest Substring with At Least K Repeating Characters	44.6	Medium
379	396	 Rotate Function	39.4	Medium
380	397	 Integer Replacement	34.8	Medium
381	398	 Random Pick Index	63.5	Medium
382	399	 Evaluate Division	58.7	Medium
383	400	 Nth Digit	33.6	Medium
384	401	 Binary Watch	50.7	Easy
385	402	 Remove K Digits	30.5	Medium
386	403	 Frog Jump	43.0	Hard
387	404	 Sum of Left Leaves	55.2	Easy
388	405	 Convert a Number to Hexadecimal	45.8	Easy
389	406	 Queue Reconstruction by Height	70.2	Medium
390	407	 Trapping Rain Water II	47.1	Hard
391	408	 Valid Word Abbreviation	34.8	Easy
392	409	 Longest Palindrome	53.7	Easy
393	410	 Split Array Largest Sum	52.2	Hard
394	411	 Minimum Unique Word Abbreviation	38.5	Hard
395	412	 Fizz Buzz	66.9	Easy
396	413	 Arithmetic Slices	64.5	Medium
397	414	 Third Maximum Number	31.9	Easy
398	415	 Add Strings	52.3	Easy
399	416	 Partition Equal Subset Sum	46.5	Medium
400	417	 Pacific Atlantic Water Flow	49.5	Medium
401	418	 Sentence Screen Fitting	35.4	Medium
402	419	 Battleships in a Board	73.7	Medium
403	420	 Strong Password Checker	14.2	Hard
404	421	 Maximum XOR of Two Numbers in an Array	54.4	Medium
405	422	 Valid Word Square	38.7	Easy
406	423	 Reconstruct Original Digits from English	51.2	Medium
407	424	 Longest Repeating Character Replacement	50.9	Medium
408	425	 Word Squares	52.3	Hard
409	426	 Convert Binary Search Tree to Sorted Doubly Linked List	64.4	Medium
410	427	 Construct Quad Tree	65.5	Medium
411	428	 Serialize and Deserialize N-ary Tree	64.5	Hard
412	429	 N-ary Tree Level Order Traversal	68.9	Medium
413	430	 Flatten a Multilevel Doubly Linked List	59.0	Medium
414	431	 Encode N-ary Tree to Binary Tree	78.1	Hard
415	432	 All O`one Data Structure	36.1	Hard
416	433	 Minimum Genetic Mutation	47.0	Medium
417	434	 Number of Segments in a String	37.9	Easy
418	435	 Non-overlapping Intervals	48.4	Medium
419	436	 Find Right Interval	49.7	Medium
420	437	 Path Sum III	50.1	Medium
421	438	 Find All Anagrams in a String	48.4	Medium
422	439	 Ternary Expression Parser	57.9	Medium
423	440	 K-th Smallest in Lexicographical Order	30.6	Hard
424	441	 Arranging Coins	45.5	Easy
425	442	 Find All Duplicates in an Array	72.5	Medium
426	443	 String Compression	47.6	Medium
427	444	 Sequence Reconstruction	25.2	Medium
428	445	 Add Two Numbers II	58.7	Medium
429	446	 Arithmetic Slices II - Subsequence	39.5	Hard
430	447	 Number of Boomerangs	54.3	Medium
431	448	 Find All Numbers Disappeared in an Array	59.2	Easy
432	449	 Serialize and Deserialize BST	56.3	Medium
433	450	 Delete Node in a BST	49.1	Medium
434	451	 Sort Characters By Frequency	67.9	Medium
435	452	 Minimum Number of Arrows to Burst Balloons	53.0	Medium
436	453	 Minimum Moves to Equal Array Elements	54.3	Medium
437	454	 4Sum II	57.1	Medium
438	455	 Assign Cookies	50.7	Easy
439	456	 132 Pattern	32.3	Medium
440	457	 Circular Array Loop	31.7	Medium
441	458	 Poor Pigs	55.6	Hard
442	459	 Repeated Substring Pattern	43.6	Easy
443	460	 LFU Cache	39.5	Hard
444	461	 Hamming Distance	74.5	Easy
445	462	 Minimum Moves to Equal Array Elements II	57.1	Medium
446	463	 Island Perimeter	69.0	Easy
447	464	 Can I Win	29.9	Medium
448	465	 Optimal Account Balancing	49.0	Hard
449	466	 Count The Repetitions	29.1	Hard
450	467	 Unique Substrings in Wraparound String	37.7	Medium
451	468	 Validate IP Address	26.3	Medium
452	469	 Convex Polygon	38.3	Medium
453	470	 Implement Rand10() Using Rand7()	46.8	Medium
454	471	 Encode String with Shortest Length	50.6	Hard
455	472	 Concatenated Words	43.2	Hard
456	473	 Matchsticks to Square	40.3	Medium
457	474	 Ones and Zeroes	46.5	Medium
458	475	 Heaters	35.4	Medium
459	476	 Number Complement	66.8	Easy
460	477	 Total Hamming Distance	52.0	Medium
461	478	 Generate Random Point in a Circle	39.4	Medium
462	479	 Largest Palindrome Product	31.2	Hard
463	480	 Sliding Window Median	41.0	Hard
464	481	 Magical String	49.8	Medium
465	482	 License Key Formatting	43.1	Easy
466	483	 Smallest Good Base	37.9	Hard
467	484	 Find Permutation	65.6	Medium
468	485	 Max Consecutive Ones	55.2	Easy
469	486	 Predict the Winner	50.3	Medium
470	487	 Max Consecutive Ones II	49.0	Medium
471	488	 Zuma Game	35.9	Hard
472	489	 Robot Room Cleaner	76.1	Hard
473	490	 The Maze	54.8	Medium
474	491	 Increasing Subsequences	51.1	Medium
475	492	 Construct the Rectangle	52.8	Easy
476	493	 Reverse Pairs	30.0	Hard
477	494	 Target Sum	45.4	Medium
478	495	 Teemo Attacking	56.9	Easy
479	496	 Next Greater Element I	70.2	Easy
480	497	 Random Point in Non-overlapping Rectangles	39.2	Medium
481	498	 Diagonal Traverse	57.0	Medium
482	499	 The Maze III	45.7	Hard
483	500	 Keyboard Row	68.2	Easy
484	501	 Find Mode in Binary Search Tree	47.4	Easy
485	502	 IPO	44.2	Hard
486	503	 Next Greater Element II	62.2	Medium
487	504	 Base 7	47.6	Easy
488	505	 The Maze II	51.4	Medium
489	506	 Relative Ranks	57.0	Easy
490	507	 Perfect Number	37.6	Easy
491	508	 Most Frequent Subtree Sum	63.0	Medium
492	509	 Fibonacci Number	68.2	Easy
493	510	 Inorder Successor in BST II	61.3	Medium
494	513	 Find Bottom Left Tree Value	65.4	Medium
495	514	 Freedom Trail	46.3	Hard
496	515	 Find Largest Value in Each Tree Row	64.5	Medium
497	516	 Longest Palindromic Subsequence	59.5	Medium
498	517	 Super Washing Machines	39.5	Hard
499	518	 Coin Change 2	57.8	Medium
500	519	 Random Flip Matrix	39.3	Medium
501	520	 Detect Capital	55.7	Easy
502	521	 Longest Uncommon Subsequence I	60.1	Easy
503	522	 Longest Uncommon Subsequence II	40.1	Medium
504	523	 Continuous Subarray Sum	27.3	Medium
505	524	 Longest Word in Dictionary through Deleting	50.9	Medium
506	525	 Contiguous Array	46.4	Medium
507	526	 Beautiful Arrangement	64.4	Medium
508	527	 Word Abbreviation	58.3	Hard
509	528	 Random Pick with Weight	46.1	Medium
510	529	 Minesweeper	64.8	Medium
511	530	 Minimum Absolute Difference in BST	56.3	Easy
512	531	 Lonely Pixel I	60.7	Medium
513	532	 K-diff Pairs in an Array	40.2	Medium
514	533	 Lonely Pixel II	48.3	Medium
515	535	 Encode and Decode TinyURL	85.5	Medium
516	536	 Construct Binary Tree from String	55.9	Medium
517	537	 Complex Number Multiplication	71.1	Medium
518	538	 Convert BST to Greater Tree	66.4	Medium
519	539	 Minimum Time Difference	55.3	Medium
520	540	 Single Element in a Sorted Array	58.7	Medium
521	541	 Reverse String II	50.2	Easy
522	542	 01 Matrix	43.8	Medium
523	543	 Diameter of Binary Tree	54.4	Easy
524	544	 Output Contest Matches	76.5	Medium
525	545	 Boundary of Binary Tree	43.4	Medium
526	546	 Remove Boxes	47.4	Hard
527	547	 Number of Provinces	62.6	Medium
528	548	 Split Array with Equal Sum	49.9	Hard
529	549	 Binary Tree Longest Consecutive Sequence II	48.7	Medium
530	551	 Student Attendance Record I	47.7	Easy
531	552	 Student Attendance Record II	40.6	Hard
532	553	 Optimal Division	59.1	Medium
533	554	 Brick Wall	52.7	Medium
534	555	 Split Concatenated Strings	43.3	Medium
535	556	 Next Greater Element III	33.9	Medium
536	557	 Reverse Words in a String III	79.0	Easy
537	558	 Logical OR of Two Binary Grids Represented as Quad-Trees	47.3	Medium
538	559	 Maximum Depth of N-ary Tree	71.1	Easy
539	560	 Subarray Sum Equals K	44.3	Medium
540	561	 Array Partition I	75.8	Easy
541	562	 Longest Line of Consecutive One in Matrix	49.2	Medium
542	563	 Binary Tree Tilt	58.6	Easy
543	564	 Find the Closest Palindrome	21.4	Hard
544	565	 Array Nesting	56.3	Medium
545	566	 Reshape the Matrix	62.5	Easy
546	567	 Permutation in String	44.5	Medium
547	568	 Maximum Vacation Days	44.5	Hard
548	572	 Subtree of Another Tree	45.4	Easy
549	573	 Squirrel Simulation	54.7	Medium
550	575	 Distribute Candies	65.7	Easy
551	576	 Out of Boundary Paths	40.2	Medium
552	581	 Shortest Unsorted Continuous Subarray	36.0	Medium
553	582	 Kill Process	67.3	Medium
554	583	 Delete Operation for Two Strings	56.0	Medium
555	587	 Erect the Fence	43.2	Hard
556	588	 Design In-Memory File System	48.5	Hard
557	589	 N-ary Tree Preorder Traversal	76.2	Easy
558	590	 N-ary Tree Postorder Traversal	76.3	Easy
559	591	 Tag Validator	36.5	Hard
560	592	 Fraction Addition and Subtraction	51.8	Medium
561	593	 Valid Square	43.9	Medium
562	594	 Longest Harmonious Subsequence	52.8	Easy
563	598	 Range Addition II	54.7	Easy
564	599	 Minimum Index Sum of Two Lists	52.7	Easy
565	600	 Non-negative Integers without Consecutive Ones	38.8	Hard
566	604	 Design Compressed String Iterator	39.2	Easy
567	605	 Can Place Flowers	33.1	Easy
568	606	 Construct String from Binary Tree	57.8	Easy
569	609	 Find Duplicate File in System	63.8	Medium
570	611	 Valid Triangle Number	49.8	Medium
571	616	 Add Bold Tag in String	48.4	Medium
572	617	 Merge Two Binary Trees	78.0	Easy
573	621	 Task Scheduler	54.6	Medium
574	622	 Design Circular Queue	48.7	Medium
575	623	 Add One Row to Tree	54.0	Medium
576	624	 Maximum Distance in Arrays	41.6	Medium
577	625	 Minimum Factorization	33.2	Medium
578	628	 Maximum Product of Three Numbers	46.7	Easy
579	629	 K Inverse Pairs Array	37.3	Hard
580	630	 Course Schedule III	35.7	Hard
581	631	 Design Excel Sum Formula	42.2	Hard
582	632	 Smallest Range Covering Elements from K Lists	58.7	Hard
583	633	 Sum of Square Numbers	34.7	Medium
584	634	 Find the Derangement of An Array	41.3	Medium
585	635	 Design Log Storage System	62.5	Medium
586	636	 Exclusive Time of Functions	60.4	Medium
587	637	 Average of Levels in Binary Tree	68.8	Easy
588	638	 Shopping Offers	54.6	Medium
589	639	 Decode Ways II	30.4	Hard
590	640	 Solve the Equation	43.3	Medium
